start,stop,ligne
LESGOBELINS,PLACEDITALIE,7
PLACEDITALIE,TOLBIAC,7
TOLBIAC,MAISONBLANCHE,7
PORTEDITALIE,PORTEDECHOISY,7
PORTEDECHOISY,PORTEDIVRY,7
PORTEDIVRY,PIERREETMARIECURIE,7
PIERREETMARIECURIE,MAIRIEDIVRY,7
LEKREMLINBICETRE,VILLEJUIFLEOLAGRANGE,7
VILLEJUIFLEOLAGRANGE,VILLEJUIFPAULVAILLANTCOUTURIER,7
VILLEJUIFPAULVAILLANTCOUTURIER,VILLEJUIFLOUISARAGON,7
MAISONBLANCHE,PORTEDITALIE,7
MAISONBLANCHE,LEKREMLINBICETRE,7
FORTDAUBERVILLIERS,LACOURNEUVEMAI,7
AUBERVILLIERSPANTINQUATRECHEMINS,FORTDAUBERVILLIERS,7
PORTEDELAVILLETTE,AUBERVILLIERSPANTINQUATRECHEMINS,7
CORENTINCARIOU,PORTEDELAVILLETTE,7
CRIMEE,CORENTINCARIOU,7
RIQUET,CRIMEE,7
STALINGRAD,RIQUET,7
LOUISBLANC,STALINGRAD,7
CHATEAULANDON,LOUISBLANC,7
GAREDELEST,CHATEAULANDON,7
POISSONNIERE,GAREDELEST,7
CADET,POISSONNIERE,7
LEPELETIER,CADET,7
CHAUSSEEDANTINLAFAYETTE,LEPELETIER,7
OPERA,CHAUSSEEDANTINLAFAYETTE,7
PYRAMIDES,OPERA,7
PALAISROYALMUSEEDULOUVRE,PYRAMIDES,7
PONTNEUF,PALAISROYALMUSEEDULOUVRE,7
CHATELET,PONTNEUF,7
PONTMARIE,CHATELET,7
SULLYMORLAND,PONTMARIE,7
JUSSIEU,SULLYMORLAND,7
PLACEMONGE,JUSSIEU,7
CENSIERDAUBENTON,PLACEMONGE,7
LESGOBELINS,CENSIERDAUBENTON,7
PLACEDITALIE,LESGOBELINS,7
TOLBIAC,PLACEDITALIE,7
MAISONBLANCHE,TOLBIAC,7
PORTEDECHOISY,PORTEDITALIE,7
PORTEDIVRY,PORTEDECHOISY,7
PIERREETMARIECURIE,PORTEDIVRY,7
MAIRIEDIVRY,PIERREETMARIECURIE,7
VILLEJUIFLEOLAGRANGE,LEKREMLINBICETRE,7
VILLEJUIFPAULVAILLANTCOUTURIER,VILLEJUIFLEOLAGRANGE,7
VILLEJUIFLOUISARAGON,VILLEJUIFPAULVAILLANTCOUTURIER,7
PORTEDITALIE,MAISONBLANCHE,7
LEKREMLINBICETRE,MAISONBLANCHE,7
BALARD,LOURMEL,8
LOURMEL,BOUCICAUT,8
BOUCICAUT,FELIXFAURE,8
FELIXFAURE,COMMERCE,8
COMMERCE,LAMOTTEPICQUETGRENELLE,8
LAMOTTEPICQUETGRENELLE,ECOLEMILITAIRE,8
ECOLEMILITAIRE,LATOURMAUBOURG,8
LATOURMAUBOURG,INVALIDES,8
INVALIDES,CONCORDE,8
CONCORDE,MADELEINE,8
MADELEINE,OPERA,8
OPERA,RICHELIEUDROUOT,8
RICHELIEUDROUOT,GRANDSBOULEVARDS,8
GRANDSBOULEVARDS,BONNENOUVELLE,8
BONNENOUVELLE,STRASBOURGSTDENIS,8
STRASBOURGSTDENIS,REPUBLIQUE,8
REPUBLIQUE,FILLESDUCALVAIRE,8
FILLESDUCALVAIRE,STSEBASTIENFROISSART,8
STSEBASTIENFROISSART,CHEMINVERT,8
CHEMINVERT,BASTILLE,8
BASTILLE,LEDRUROLLIN,8
LEDRUROLLIN,FAIDHERBECHALIGNY,8
FAIDHERBECHALIGNY,REUILLYDIDEROT,8
REUILLYDIDEROT,MONTGALLET,8
MONTGALLET,DAUMESNIL,8
DAUMESNIL,MICHELBIZOT,8
MICHELBIZOT,PORTEDOREE,8
PORTEDOREE,PORTEDECHARENTON,8
PORTEDECHARENTON,LIBERTE,8
LIBERTE,CHARENTONECOLES,8
CHARENTONECOLES,ECOLEVETERINAIREDEMAISONSALFORT,8
ECOLEVETERINAIREDEMAISONSALFORT,MAISONSALFORTSTADE,8
MAISONSALFORTSTADE,MAISONSALFORTLESJUILLIOTTES,8
MAISONSALFORTLESJUILLIOTTES,CRETEILLECHAT,8
CRETEILLECHAT,CRETEILUNIVERSITE,8
CRETEILUNIVERSITE,CRETEILPREFECTURE,8
CRETEILPREFECTURE,POINTEDULAC,8
LOURMEL,BALARD,8
BOUCICAUT,LOURMEL,8
FELIXFAURE,BOUCICAUT,8
COMMERCE,FELIXFAURE,8
LAMOTTEPICQUETGRENELLE,COMMERCE,8
ECOLEMILITAIRE,LAMOTTEPICQUETGRENELLE,8
LATOURMAUBOURG,ECOLEMILITAIRE,8
INVALIDES,LATOURMAUBOURG,8
CONCORDE,INVALIDES,8
MADELEINE,CONCORDE,8
OPERA,MADELEINE,8
RICHELIEUDROUOT,OPERA,8
GRANDSBOULEVARDS,RICHELIEUDROUOT,8
BONNENOUVELLE,GRANDSBOULEVARDS,8
STRASBOURGSTDENIS,BONNENOUVELLE,8
REPUBLIQUE,STRASBOURGSTDENIS,8
FILLESDUCALVAIRE,REPUBLIQUE,8
STSEBASTIENFROISSART,FILLESDUCALVAIRE,8
CHEMINVERT,STSEBASTIENFROISSART,8
BASTILLE,CHEMINVERT,8
LEDRUROLLIN,BASTILLE,8
FAIDHERBECHALIGNY,LEDRUROLLIN,8
REUILLYDIDEROT,FAIDHERBECHALIGNY,8
MONTGALLET,REUILLYDIDEROT,8
DAUMESNIL,MONTGALLET,8
MICHELBIZOT,DAUMESNIL,8
PORTEDOREE,MICHELBIZOT,8
PORTEDECHARENTON,PORTEDOREE,8
LIBERTE,PORTEDECHARENTON,8
CHARENTONECOLES,LIBERTE,8
ECOLEVETERINAIREDEMAISONSALFORT,CHARENTONECOLES,8
MAISONSALFORTSTADE,ECOLEVETERINAIREDEMAISONSALFORT,8
MAISONSALFORTLESJUILLIOTTES,MAISONSALFORTSTADE,8
CRETEILLECHAT,MAISONSALFORTLESJUILLIOTTES,8
CRETEILUNIVERSITE,CRETEILLECHAT,8
CRETEILPREFECTURE,CRETEILUNIVERSITE,8
POINTEDULAC,CRETEILPREFECTURE,8
PONTDESEVRES,BILLANCOURT,9
BILLANCOURT,MARCELSEMBAT,9
MARCELSEMBAT,PORTEDESTCLOUD,9
PORTEDESTCLOUD,EXELMANS,9
EXELMANS,MICHELANGEMOLITOR,9
MICHELANGEMOLITOR,MICHELANGEAUTEUIL,9
MICHELANGEAUTEUIL,JASMIN,9
JASMIN,RANELAGH,9
RANELAGH,LAMUETTE,9
LAMUETTE,RUEDELAPOMPE,9
RUEDELAPOMPE,TROCADERO,9
TROCADERO,IENA,9
IENA,ALMAMARCEAU,9
ALMAMARCEAU,FRANKLINDROOSEVELT,9
FRANKLINDROOSEVELT,STPHILIPPEDUROULE,9
STPHILIPPEDUROULE,MIROMESNIL,9
MIROMESNIL,STAUGUSTIN,9
STAUGUSTIN,HAVRECAUMARTIN,9
HAVRECAUMARTIN,CHAUSSEEDANTINLAFAYETTE,9
CHAUSSEEDANTINLAFAYETTE,RICHELIEUDROUOT,9
RICHELIEUDROUOT,GRANDSBOULEVARDS,9
GRANDSBOULEVARDS,BONNENOUVELLE,9
BONNENOUVELLE,STRASBOURGSTDENIS,9
STRASBOURGSTDENIS,REPUBLIQUE,9
REPUBLIQUE,OBERKAMPF,9
OBERKAMPF,STAMBROISE,9
STAMBROISE,VOLTAIRE,9
VOLTAIRE,CHARONNE,9
CHARONNE,RUEDESBOULETS,9
RUEDESBOULETS,NATION,9
NATION,BUZENVAL,9
BUZENVAL,MARAICHERS,9
MARAICHERS,PORTEDEMONTREUIL,9
PORTEDEMONTREUIL,ROBESPIERRE,9
ROBESPIERRE,CROIXDECHAVAUX,9
CROIXDECHAVAUX,MAIRIEDEMONTREUIL,9
BILLANCOURT,PONTDESEVRES,9
MARCELSEMBAT,BILLANCOURT,9
PORTEDESTCLOUD,MARCELSEMBAT,9
EXELMANS,PORTEDESTCLOUD,9
MICHELANGEMOLITOR,EXELMANS,9
MICHELANGEAUTEUIL,MICHELANGEMOLITOR,9
JASMIN,MICHELANGEAUTEUIL,9
RANELAGH,JASMIN,9
LAMUETTE,RANELAGH,9
RUEDELAPOMPE,LAMUETTE,9
TROCADERO,RUEDELAPOMPE,9
IENA,TROCADERO,9
ALMAMARCEAU,IENA,9
FRANKLINDROOSEVELT,ALMAMARCEAU,9
STPHILIPPEDUROULE,FRANKLINDROOSEVELT,9
MIROMESNIL,STPHILIPPEDUROULE,9
STAUGUSTIN,MIROMESNIL,9
HAVRECAUMARTIN,STAUGUSTIN,9
