nom_clean,nom_gare,x,y,Trafic,Ville,ligne
LOUISBLANC,Louis Blanc,653470.1684,6864772.1908,2439575,Paris,7bis
LOUISEMICHEL,Louise Michel,647796.9264,6865645.6998,3807962,Levallois-Perret,3
LOURMEL,Lourmel,647351.9234,6860118.0595,2424947,Paris,8
LOUVRERIVOLI,Louvre-Rivoli,651659.1352,6862509.6962,2617507,Paris,1
MABILLON,Mabillon,651240.5212,6861647.0174,1963879,Paris,10
MADELEINE,Madeleine,650498.1966,6863552.9304,7088856,Paris,8
MADELEINE,Madeleine,650498.1966,6863552.9304,7088856,Paris,12
MADELEINE,Madeleine,650498.1966,6863552.9304,7088856,Paris,14
MAIRIEDECLICHY,Mairie de Clichy,649119.3873,6867260.1725,7105379,Clichy,13
MAIRIEDEMONTREUIL,Mairie de Montreuil,659011.4336,6862578.7337,8182788,Montreuil,9
MAIRIEDEMONTROUGE,Mairie de Montrouge,650051.0907,6857838.6019,7081319,Montrouge,4
MAIRIEDESLILAS,Mairie des Lilas,657204.3492,6864573.8589,4817603,Les Lilas,11
MAIRIEDESTOUEN,Mairie de Saint-Ouen,651180.0871,6868202.6512,4641862,Saint Ouen,13
MAIRIEDISSY,Mairie d'Issy,646627.8252,6858472.7468,4473140,Issy Les Moulineaux,12
MAIRIEDIVRY,Mairie d'Ivry,654729.8271,6856957.6392,3351677,Ivry,7
MAISONBLANCHE,Maison Blanche,652898.4845,6858233.0223,1974306,Paris,7
MAISONSALFORTLESJUILLIOTTES,Maisons-Alfort-Les Juilliottes,659377.3049,6855982.3601,1905384,Maisons -Alfort,8
MAISONSALFORTSTADE,Maisons-Alfort-Stade,658470.4404,6856712.2781,2465520,Maisons -Alfort,8
MALAKOFFPLATEAUDEVANVES,Malakoff-Plateau de Vanves,648492.7655,6858286.7117,3718080,Malakoff,13
MALAKOFFRUEETIENNEDOLET,Malakoff-Rue Étienne Dolet,648383.7762,6857478.6018,2140693,Malakoff,13
MALESHERBES,Malesherbes,649328.8075,6864985.5498,2628908,Paris,3
MARAICHERS,Maraîchers,656419.7092,6861573.3159,2788149,Paris,9
MARCADETPOISSONNIERS,Marcadet-Poissonniers,652320.2944,6865908.132,5285526,Paris,4
MARCADETPOISSONNIERS,Marcadet-Poissonniers,652320.2944,6865908.132,5285526,Paris,12
MARCELSEMBAT,Marcel Sembat,644494.2278,6859560.7019,5958354,Boulogne Billancourt,9
MARXDORMOY,Marx Dormoy,653071.5478,6865798.4225,3616802,Paris,12
MAUBERTMUTUALITE,Maubert-Mutualité,652158.9045,6861318.0602,2349339,Paris,10
MENILMONTANT,Ménilmontant,654765.838,6863151.1043,4359581,Paris,2
MICHELANGEAUTEUIL,Michel Ange-Auteuil,645994.7057,6861124.0745,2175029,Paris,9
MICHELANGEAUTEUIL,Michel Ange-Auteuil,645994.7057,6861124.0745,2175029,Paris,10
MICHELANGEMOLITOR,Michel Ange-Molitor,645820.2672,6860810.1786,2298330,Paris,9
MICHELANGEMOLITOR,Michel Ange-Molitor,645820.2672,6860810.1786,2298330,Paris,10
MICHELBIZOT,Michel Bizot,656130.969,6859839.9191,2009808,Paris,8
MIRABEAU,Mirabeau,646631.0122,6861033.1517,1422224,Paris,10
MIROMESNIL,Miromesnil,649727.2457,6863960.9825,6391877,Paris,9
MIROMESNIL,Miromesnil,649727.2457,6863960.9825,6391877,Paris,13
MONCEAU,Monceau,649355.6855,6864713.7086,1804353,Paris,2
MONTGALLET,Montgallet,655237.5024,6860657.5602,1690677,Paris,8
MONTPARNASSEBIENVENUE,Montparnasse-Bienvenüe,650186.4248,6860442.3044,30646580,Paris,4
MONTPARNASSEBIENVENUE,Montparnasse-Bienvenüe,650186.4248,6860442.3044,30646580,Paris,6
MONTPARNASSEBIENVENUE,Montparnasse-Bienvenüe,650186.4248,6860442.3044,30646580,Paris,12
MONTPARNASSEBIENVENUE,Montparnasse-Bienvenüe,650186.4248,6860442.3044,30646580,Paris,13
MOUTONDUVERNET,Mouton-Duvernet,650794.4816,6859215.1047,1645671,Paris,4
NATION,Nation,655642.3274,6861007.0198,8638165,Paris,1
NATION,Nation,655642.3274,6861007.0198,8638165,Paris,2
NATION,Nation,655642.3274,6861007.0198,8638165,Paris,6
NATION,Nation,655642.3274,6861007.0198,8638165,Paris,9
NATIONALE,Nationale,653229.9171,6859428.9054,2970029,Paris,6
NOTREDAMEDELORETTE,Notre-Dame-de-Lorette,651436.9357,6864204.0114,2943066,Paris,12
NOTREDAMEDESCHAMPS,Notre-Dame-des-Champs,650739.5063,6860753.4255,2146424,Paris,12
OBERKAMPF,Oberkampf,653665.5406,6862921.5946,4580340,Paris,5
OBERKAMPF,Oberkampf,653665.5406,6862921.5946,4580340,Paris,9
ODEON,Odéon,651549.9234,6861564.8032,5905175,Paris,4
ODEON,Odéon,651549.9234,6861564.8032,5905175,Paris,10
OLYMPIADES,Olympiades,653604.5847,6858764.7361,7306272,Paris,14
OPERA,Opéra,651029.8713,6863591.4421,11175606,Paris,3
OPERA,Opéra,651029.8713,6863591.4421,11175606,Paris,7
OPERA,Opéra,651029.8713,6863591.4421,11175606,Paris,8
OURCQ,Ourcq,655045.7743,6865410.1669,4089055,Paris,5
PALAISROYALMUSEEDULOUVRE,Palais Royal-Musée du Louvre,651322.2057,6862683.9581,9648312,Paris,1
PALAISROYALMUSEEDULOUVRE,Palais Royal-Musée du Louvre,651322.2057,6862683.9581,9648312,Paris,7
PARMENTIER,Parmentier,654118.8397,6862984.2509,3283276,Paris,3
PASSY,Passy,647598.9541,6862171.635,4124316,Paris,6
PASTEUR,Pasteur,649565.6646,6860511.5692,5217986,Paris,6
PASTEUR,Pasteur,649565.6646,6860511.5692,5217986,Paris,12
PELLEPORT,Pelleport,656100.7414,6863323.2148,371005,Paris,3bis
PEREIRE,Pereire-Levallois,648500.0697,6865215.7477,4804340,Paris,3
PERELACHAISE,Père Lachaise,655072.126,6862687.687000001,4882748,Paris,2
